Iteration,UserSide1_ns,BankSide_ns,UserSide2_ns
288,355341,382654,477291
289,353940,403893,453420
290,364671,377653,452558
291,348516,395667,461984
292,358093,388315,461378
293,385848,369136,451198
294,344053,395750,458828
295,359743,391897,466150
296,367943,387446,467063
297,356361,389850,481631
298,352117,379391,456115
299,348209,381572,453235
300,346039,385844,450955
301,348652,386979,459269
302,354358,381505,457808
303,358395,382405,462340
304,354051,378791,452539
305,353955,380004,448990
306,362165,390505,447315
307,348636,376017,460172
308,360754,385444,452011
309,358943,382510,448889
310,346772,380023,483190
311,357436,374303,474709
312,357285,397435,459784
313,351362,383857,471655
314,354081,392842,469108
315,363966,385567,457611
316,347528,376030,542911
317,392461,427188,486954
318,360923,400234,460501
319,352305,389020,466452
320,359462,386038,461266
321,359431,387204,464954
322,353411,384956,447299
323,353386,390933,445364
324,345559,380943,459628
325,360400,379394,450674
326,363009,380760,456373
327,348026,393010,466019
328,355543,396355,461403
329,357239,373894,449602
330,388545,586512,593451
331,471098,397937,455628
332,357842,377901,465243
333,354430,383180,453784
334,369682,385821,471287
335,368651,392991,478994
336,359173,393220,465064
337,378887,383299,456110
338,351113,402170,472739
339,364625,398159,449585
340,376567,387228,497449
341,356928,377785,460557
342,355706,384454,629175
343,405646,491486,458642
344,390705,399510,479434
345,351366,393672,464381
346,367726,635379,450783
347,347143,385231,473381
348,362070,395333,465714
349,367055,389862,477257
350,364839,388726,481740
351,358126,383588,459441
352,359267,377241,450410
353,350639,390127,447170
354,378734,405903,504153
355,357131,667074,456878
356,379949,468684,544802
357,357317,386932,451535
358,405052,386851,479045
359,368027,399096,450396
360,348335,374524,458305
361,352810,382298,449376
362,371247,415664,463998
363,356905,391434,500736
364,347542,385684,446976
365,358889,379850,444341
366,343026,376201,459753
367,351263,378986,449196
368,374654,447568,512644
369,378563,405780,548360
370,432316,484876,468151
371,350094,387804,468093
372,349854,383098,454508
373,348205,388479,455605
374,350287,372965,463899
375,352507,374576,444033
376,356025,387737,466983
377,355821,391105,463128
378,355371,388495,472452
379,361695,386243,452842
380,357635,394693,452692
381,354394,387082,455959
382,369338,453773,490165
383,364634,378678,547693
384,371678,394113,457320
385,371022,387180,457806
386,354040,392862,502092
387,399381,388944,458823
388,367743,385696,473765
389,361376,393144,466120
390,355077,386020,453873
