Iteration,UserSide1_ns,BankSide_ns,UserSide2_ns
288,362172,389817,470978
289,360060,393879,462688
290,415338,482118,460312
291,352660,381275,460174
292,352252,396201,461027
293,362838,392641,519323
294,371660,400225,475279
295,359851,385346,477721
296,373631,396908,460575
297,365700,391294,459527
298,346467,382672,449478
299,358068,381561,461551
300,350851,389424,474183
301,356426,419988,499167
302,399790,390812,469277
303,439364,510699,479987
304,365983,399864,474456
305,352373,400762,461384
306,358999,398489,453995
307,357130,392513,465039
308,357677,388746,469386
309,381096,384114,477900
310,375966,385965,499789
311,361425,385027,455709
312,362968,388525,462967
313,357961,391604,473181
314,352696,396224,462504
315,358215,400375,460567
316,428385,496381,556508
317,400010,423232,514809
318,365142,387687,466847
319,421155,397994,477570
320,365912,394709,467383
321,353391,385432,471301
322,351847,390507,471123
323,353807,396756,472130
324,361717,387683,456714
325,374059,387948,458690
326,373025,385142,457344
327,365452,389442,468973
328,351839,392261,455633
329,353637,405139,473883
330,361783,385637,470631
331,360004,877019,549764
332,626266,395972,478515
333,376597,452034,480345
334,360252,398622,472518
335,357756,386869,478754
336,359844,402003,457615
337,357098,390578,454394
338,360184,389039,458067
339,350760,402887,473901
340,364987,397954,483668
341,481802,395734,534066
342,482887,446267,468396
343,363952,398123,458539
344,352454,384555,454419
345,364135,394032,460986
346,357017,394853,459719
347,348768,381053,478648
348,356369,391534,460441
349,353858,422975,477546
350,364421,386135,472184
351,355035,385653,457314
352,354284,399289,464205
353,354568,376227,458523
354,380995,387186,480603
355,369104,414543,457298
356,354516,389899,491280
357,362263,403458,473106
358,353583,397809,472137
359,368087,406862,474720
360,351512,381896,456626
361,358102,387384,457884
362,367261,393296,468741
363,356788,384065,469227
364,355199,391945,461403
365,350701,394192,469913
366,351129,386611,456636
367,357378,420102,846966
368,373219,418598,458382
369,375637,396174,477670
370,363803,387089,457215
371,355038,383993,474677
372,349790,394768,463819
373,360250,395413,462997
374,369607,387260,467036
375,351977,384039,478030
376,357949,391173,475991
377,362909,389647,461921
378,362006,388195,463430
379,352613,397338,608249
380,371925,437717,473135
381,361494,388083,469457
382,365865,398236,503138
383,368565,384513,479597
384,355378,401761,465073
385,360587,393393,460042
386,365895,388951,458737
387,372843,386116,462104
388,354256,391760,460622
389,353947,397105,462687
390,357346,384130,455035
391,358897,387542,553503
392,386893,397166,477328
393,385341,430219,469340
394,351605,381153,455752
395,351291,393379,457351
396,350573,408012,456269
397,367175,387849,473327
398,364760,381224,463640
399,351493,387383,464415
400,344229,383498,448653
401,362158,394679,461527
402,346699,390111,456149
403,353990,385998,502434
404,349153,379152,461807
405,357692,399385,458149
406,351156,402922,537052
407,368744,384337,460088
408,427362,400361,466443
409,355127,400619,455913
410,346837,392357,454135
411,359499,382518,457799
412,350980,391325,452101
413,351110,385053,448642
414,363124,385155,456919
415,350287,381595,467503
416,352229,382065,459578
417,358485,396973,454902
418,351514,378650,448301
419,352991,379723,454012
420,355582,408398,477299
421,354801,388906,471176
422,349000,389299,463617
423,364439,384870,460280
424,357487,388323,461412
425,350755,378853,462665
426,352846,373252,448653
427,350606,385022,490009
428,355538,394896,468349
429,369522,399103,459566
430,368291,387531,466110
431,356599,377793,463118
432,350838,396859,462799
433,365001,397933,467251
434,359816,392691,472856
435,356030,384387,458649
436,360793,391208,459691
437,345599,371906,452689
438,352373,395316,465366
439,356576,397991,459829
440,351807,372827,463163
441,348618,383366,461254
442,356892,393543,455909
443,350573,388535,466280
444,348700,379336,447245
445,345572,394416,451615
446,351703,389075,470624
447,350704,384512,470405
448,351087,383596,447708
449,355791,401467,450870
450,347424,380433,464031
451,351169,394121,497340
452,348364,391590,455595
453,360122,377264,455066
454,352993,381587,463287
455,350370,399608,453990
456,351713,381138,463137
457,363372,384615,455008
458,348119,391975,450518
459,359869,417939,556173
460,375137,391126,457326
461,359065,378497,457560
462,349265,385201,475727
463,350737,381656,459164
464,364122,398460,452499
465,350412,382375,462869
466,351743,389174,459567
467,367818,400420,451912
468,349796,385402,482284
469,350999,381743,462216
470,346769,387281,465043
471,349865,386514,469310
472,361049,391694,562187
473,410783,392036,458298
474,370766,391004,475931
475,351394,470556,479824
476,381508,397689,479898
477,361822,393608,469370
478,358608,448566,473682
479,363707,382344,463028
480,379082,405997,473798
481,362293,398760,474129
482,370382,398432,464762
483,366766,402701,454632
484,344548,393615,459260
485,360156,387939,479172
486,365031,390855,465182
487,350669,409114,495380
488,376687,399182,458245
489,362328,383361,463652
490,347530,379401,697421
491,361191,399389,467722
492,358111,385304,457558
493,361805,401467,471159
494,363511,398598,478413
495,356702,386900,473288
496,381489,404161,466740
497,364426,403227,477639
498,359498,391390,504336
499,370248,397479,468086
500,355057,400060,471989
501,349388,379713,459484
502,347710,392781,467479
503,348239,399943,468217
504,353253,394404,498385
505,373454,393965,487476
506,368680,406255,463780
507,353968,392123,460492
508,368084,402228,459914
509,358043,393673,463543
510,369285,384940,475224
511,357146,388515,471992
512,358168,401269,462078
513,358181,382227,466390
514,363391,441443,464721
515,353914,392226,458138
516,352602,396132,455359
517,355938,386458,461068
518,347398,387452,465575
519,358645,388976,460729
520,351919,398404,453564
521,360363,382974,460729
522,351267,430974,461193
523,356340,387403,467339
524,354438,388550,467704
525,356951,394607,459521
526,344090,447831,459382
527,367649,384091,467526
528,366759,385856,466794
529,363071,393446,461955
530,357758,383777,455204
531,357655,383729,469551
532,351958,385492,486928
533,356578,397756,452940
534,359894,396639,474392
535,361325,396934,486137
536,357336,382789,451769
537,360165,392819,463202
538,361191,442539,470147
539,360195,394319,461891
540,349953,383750,466560
541,358737,386010,470239
542,352374,388981,454212
543,362247,380084,468094
544,349051,377592,458961
545,348364,395139,458673
546,392808,383478,463770
547,354808,372247,465751
548,351664,378684,462650
549,346117,387166,448283
550,361715,387393,458337
551,639367,498273,529225
552,484411,442648,487891
553,386551,400100,465215
554,357974,389708,465309
555,355053,395193,455618
556,351750,384988,462562
557,361879,379850,462957
558,353381,389403,465382
559,347617,389831,456409
560,359818,386560,471612
561,352278,384488,470086
562,362274,381353,603863
563,381309,384942,564671
564,438817,390249,468521
565,360156,400262,514537
566,368124,393956,471386
567,372266,389405,468248
568,372160,437282,467488
569,355470,396308,474056
570,353196,389718,460144
571,363056,386556,472566
572,369863,400144,477943
573,351679,385052,464059
574,362499,384354,453722
575,364976,390755,469412
576,356605,387687,497699
577,394973,409802,501147
578,365852,399202,471792
579,355981,400718,458244
580,363846,380819,457847
581,372180,382749,455786
582,359316,383516,457288
583,355930,390519,467945
584,364335,393703,472428
585,356742,391711,473948
586,358602,390520,458394
587,407043,392996,475504
588,355984,395684,456884
589,354241,378938,501155
590,406571,407171,521534
591,476026,465270,455357
592,387989,395144,471948
593,352532,386947,473561
594,360883,386864,472038
595,354486,404584,459730
596,354176,389609,465067
597,348594,385649,451894
598,350221,395653,452814
599,348791,389105,464507
600,351775,383930,457193
601,355221,382481,464593
602,356254,390863,562050
603,406079,391750,508170
604,470096,461396,457037
605,351046,402492,451494
606,358329,379884,448452
607,356899,388841,452197
608,346776,374367,465457
609,356852,390069,464397
610,364587,380927,511033
611,353774,394021,450250
612,347216,384075,448101
613,357047,377068,451664
614,349844,380114,466322
615,361325,387014,596777
616,362138,434516,592128
617,415012,388144,476198
618,347988,380050,479576
619,350107,377628,482635
620,373080,399697,462406
621,358226,397257,465563
622,362053,390153,467591
623,351784,387683,451775
624,355006,399285,460056
625,362951,382437,473253
626,366594,379557,455687
627,349957,397681,463839
628,352867,383568,474048
629,349998,385693,467006
630,368893,384241,463643
631,351361,390866,471365
632,356240,387891,463198
633,363710,391068,456537
634,358422,405354,471322
635,363060,386045,468111
636,375918,383041,447608
637,350595,389547,463053
638,360005,384963,464740
639,365256,384470,467894
640,381365,390750,459676
641,365013,405065,454681
642,442628,459457,489257
643,350842,371254,470874
644,352366,383606,453643
645,346460,392379,453532
646,356664,393921,479236
647,351990,384484,458006
