Iteration,UserSide1_ns,BankSide_ns,UserSide2_ns
288,303949,346576,439444
289,312221,345510,429168
290,294318,323211,426631
291,293018,335818,421806
292,308825,327145,415931
293,303231,326884,427538
294,298263,346448,432185
295,305921,338101,432325
296,305860,330319,427763
297,295850,326034,432888
298,299051,332720,431980
299,313721,325501,424146
300,296217,337947,438311
301,299490,337053,431161
302,306413,326342,415598
303,287848,321375,426354
304,298203,324605,421720
305,303154,337511,424859
306,430962,365136,441063
307,310571,324577,440624
308,296316,324015,425680
309,289830,340521,427418
310,298532,345838,432081
311,303676,322580,433923
312,296138,335255,423016
313,293330,330482,421822
314,311299,325559,424968
315,297883,331197,450081
316,287929,317702,426410
317,296637,329877,418462
318,290551,322847,416015
319,300511,345989,486690
320,300244,326135,426241
321,309698,325914,557783
322,377541,335009,432507
323,307416,326203,428197
324,301057,336775,434466
325,306872,326366,423406
326,291728,327763,429871
327,294926,328382,437522
328,301623,326651,427803
329,311620,341804,433912
330,290424,321526,425141
331,461166,454968,588803
332,414381,351225,580078
333,301534,330867,432239
334,301430,375929,546225
335,298412,322472,426013
336,306760,321972,422989
337,294317,331288,434852
338,301248,330797,435394
339,308364,336239,429913
340,317863,339514,447661
341,299535,334619,433231
342,309779,330144,424652
343,294939,330914,431310
344,295210,328044,433772
345,288285,335505,425817
346,297463,328408,423220
347,312526,325202,425683
348,351316,509973,466478
349,374320,335065,450265
350,310728,339680,436847
351,302209,343276,445859
352,303483,339109,441716
353,298519,335765,436846
354,302527,369317,426384
355,304165,337803,489530
356,296747,327465,440671
357,311365,341537,424100
358,301177,340616,426349
359,308736,341053,430247
360,296524,337306,434621
361,390410,367074,521399
362,374903,384509,442064
363,300274,328509,437344
364,299303,337760,424718
365,294432,355892,424316
366,312770,331794,427387
367,287778,319892,427261
368,428182,363618,440665
369,297015,321319,437579
370,297331,327065,424189
371,307111,335872,437237
372,301491,337633,432297
373,310689,329850,443952
374,294402,324831,430417
375,303299,331076,424203
376,333141,337574,423808
377,296349,323039,438944
378,293805,357908,430123
379,294661,336649,425193
380,297542,334811,432753
381,298938,325299,423203
382,311297,352463,422418
383,292635,329674,418973
384,307682,325430,429752
385,296049,333681,428943
386,290317,322387,424658
387,300765,327692,423291
388,300759,324439,437716
389,304935,328757,432940
390,303546,332102,449846
391,443667,330490,533167
392,294807,327438,423697
393,308381,532173,439647
394,293554,322869,434520
395,304032,329832,433173
396,291263,339339,427590
397,295684,340501,422838
398,303191,326146,422937
399,309073,347906,424540
400,299570,324559,423679
401,296595,322022,528698
402,324992,328686,529097
403,402129,336803,449631
404,304775,332907,441089
405,300301,563105,456035
406,292519,321655,419667
407,321686,376934,427259
408,289568,339289,428151
409,301194,334110,437727
410,297315,321521,426185
411,289551,324961,432753
412,289576,323298,419938
413,309320,326426,419668
414,290168,334553,423200
415,293965,325671,455647
416,304350,333648,421531
417,296676,330241,421257
418,289301,319919,430720
419,294277,325952,419321
420,300814,332664,431189
421,292059,324684,418196
422,290312,322056,417689
423,293174,318008,435749
424,299552,332262,431109
425,311800,321461,422950
426,294631,323813,434171
427,302869,370177,419503
428,292256,328619,426928
429,315749,423177,438659
430,311094,335812,428214
431,349088,326339,442374
432,291338,321572,439746
433,299369,340237,428618
434,296574,330242,432535
435,298217,330797,438450
436,304367,341288,425969
437,303515,373709,446701
438,301712,340638,423583
439,292847,328714,537771
440,303132,331140,426954
441,309781,329753,435561
442,294130,326309,487942
443,302415,326315,420837
444,311796,326085,428667
445,296370,334773,438151
446,288493,320015,429496
447,294819,328097,425334
448,297523,330829,427740
449,289664,327677,420436
450,293717,341859,424375
451,295457,325288,473937
452,285529,324520,422628
453,287199,334307,427700
454,301552,332524,441736
455,290057,319595,418480
456,290310,480983,509812
457,411189,408012,504516
458,295763,353467,454622
459,299889,330928,443269
460,294206,341560,421706
461,292698,334754,420845
462,301148,331069,430037
463,300302,332241,441764
464,287833,327945,427469
465,291354,327394,425383
466,301362,334133,427307
467,302804,346283,431329
468,296726,397387,430529
469,297720,327086,509214
470,420556,349546,425528
471,296248,319183,436519
472,290576,328650,422970
473,290357,340756,430112
474,296103,327033,427802
475,307067,329292,428910
476,289349,332202,455120
477,295248,323422,429905
478,294501,325765,424354
479,303672,329622,429511
480,295175,325026,437175
481,308112,338403,441746
482,302193,332396,426322
483,292690,328347,445031
484,317156,358218,443258
485,423478,336844,427840
486,290800,325323,435329
487,296562,321015,419645
488,293400,340498,428038
489,306261,323543,423515
490,304754,323542,423586
491,294018,327448,432056
492,296930,332242,475051
493,300929,340803,433138
494,308986,328175,423706
495,303175,337485,440591
496,307646,330865,422877
497,310399,337081,435137
498,304752,337485,437545
499,295369,325996,443214
500,311064,414794,576939
501,326352,374806,499804
502,299956,328947,421561
503,307284,325653,426911
504,300023,329399,437445
505,295702,322008,424650
506,296233,332229,418457
507,294715,327413,416278
508,289338,320428,424049
509,300123,343181,439038
510,302875,335486,432652
511,300823,329303,423632
512,292963,322636,437822
513,299697,331689,425663
514,311270,341679,432718
515,302732,341490,440829
516,299480,325446,431235
517,312839,326204,427461
518,310505,336872,433764
519,294719,321271,421857
520,291390,323556,426818
521,295864,323871,418663
522,295582,332969,432184
523,308054,339698,435145
524,293086,330467,430305
525,307908,329585,468073
526,292004,323972,435665
527,299519,320606,418432
528,299180,334412,438849
529,303020,331722,437468
530,304284,325116,426854
531,299404,331755,428284
532,287144,321072,421808
533,293410,344059,435965
534,294524,334501,424167
535,293665,336604,469657
536,316118,331045,426963
537,301683,325413,443249
538,374058,382907,641643
539,347916,420335,542383
540,305640,328654,440871
541,298508,341999,432675
542,302412,332416,430018
543,308908,361589,439325
544,301260,326817,436486
545,292138,329339,439550
546,304812,334039,423742
547,296969,325646,433057
548,308385,328360,426561
549,300885,341663,456562
550,302694,340433,448347
551,298031,463989,527062
552,369761,340827,430750
553,316204,352651,445511
554,300529,334318,439517
555,300657,480473,428024
556,329837,331019,429359
557,301875,341454,424579
558,295970,325463,422939
559,305793,335902,434724
560,312800,344531,441240
561,297626,328899,427339
562,297958,329192,429086
563,293611,329119,428950
564,305712,328686,419845
565,300912,346253,442552
566,300318,350670,418429
567,286561,318801,415854
568,409153,332762,471975
569,303530,325000,432129
570,295368,351971,441671
571,294363,328953,430154
572,295302,333729,427912
573,297292,340653,436584
574,327077,332732,420840
575,303030,331457,431073
576,295442,339664,432461
577,311162,349748,435027
578,308381,339474,426596
579,300824,335332,438378
580,305262,328223,427955
581,305789,329349,425127
582,296286,328770,430636
583,298378,326374,430428
584,301749,333299,447241
585,297962,334734,426102
586,326230,322836,428524
587,291224,328559,435348
588,303367,337053,439510
589,295996,334503,420362
590,293477,323527,419452
591,300010,329605,423546
592,302067,354768,445309
593,296719,329204,452327
594,341986,382610,473835
595,306433,336103,428910
596,301190,327279,439227
