Iteration,Payee1_ns,Payer_ns,Payee2_ns
226,1996963,4597135,2496816
227,1974325,4438675,2509797
228,2022009,4610162,2519446
229,1969628,4350134,2460377
230,2114119,4406739,2405292
231,1989809,4428672,2463655
232,1910903,4440309,2471705
233,1931728,4411312,2412991
234,1930834,4539425,2515628
235,2290049,4818706,2467502
236,1972013,4526790,2977613
237,1989027,4487804,2537914
238,1986403,4660398,2495773
239,2004239,4369997,2501294
240,1950180,4788725,2447877
241,2180418,4456553,2441370
242,2143190,4377157,2454310
243,1950849,4385723,2435954
244,1995850,4573083,2465992
245,1910329,4388308,2474434
246,1945896,4521012,2527633
247,1958196,4482297,2483087
248,1940954,4422921,2490802
249,1941423,4395484,2453314
250,1960484,4389301,2478535
251,2252773,4551094,2523654
252,1996994,4584092,2477584
253,1955516,4464575,2461528
254,1935778,4625905,2605802
255,1960136,4426390,2570119
256,2005455,4644858,2448860
257,1951878,4467385,2558311
258,1992904,4527026,2442114
259,1981841,4342014,2508362
260,2226302,4504866,2409512
261,1943977,4559873,2552750
262,2006133,4448187,2470120
263,1923051,4357945,2493713
264,1950450,4539978,2484520
265,1963922,4530119,2470701
266,1911753,4405462,2445507
267,1987046,4362148,2502963
268,1977376,4386509,2442157
269,2003576,4493910,2455046
270,1955206,4444727,2464893
271,1942370,4390551,2521689
272,1981428,4432579,2465852
273,2008403,4478330,2502286
274,1943911,4416073,2458501
275,1962336,4395735,2458462
276,1941713,4381563,2505504
277,1926944,4387096,2435626
278,2020051,4447230,2400715
279,1976169,4346953,2493088
280,1998541,4378145,2501511
281,1955032,5120791,2731931
282,1976933,4544568,2481907
283,2062653,4465301,2433175
284,1985178,4409826,2410910
285,1982923,4888878,2610759
286,2021725,4478848,2459213
287,1948322,4469289,3046972
288,2220008,4542918,2494797
289,2194755,4717597,2531518
290,2091362,4595983,2493481
291,2338626,5244150,2870139
292,1986230,4436533,2716801
293,2060171,4597365,2430345
294,1925709,4479678,2445614
295,2031711,5001720,2390962
296,1939576,4437172,2448983
297,1932548,4613963,2504025
298,1972534,4397324,2469243
299,1946923,4361648,2487098
300,1909424,4372346,2451108
301,1894890,4395858,2540521
302,1987717,4527791,2520246
303,1980767,4455265,2527295
304,1963761,4545614,2473470
305,1964064,4499842,2474683
306,2132946,4815541,2465896
307,1945937,4384684,2487497
308,1914518,4416683,2410977
309,1917410,4360868,2421083
310,1924036,4421945,2419688
311,1962125,4361980,2410139
312,1933574,4718579,2568706
313,2016011,4596841,2540191
314,1960763,4471863,2423278
315,2006692,4494286,2436743
316,1936426,4470202,2542830
317,2002361,4538945,2477884
318,1935256,4480334,2475941
319,1962575,4456389,2527488
320,1941134,4483870,2556374
321,1999641,4497934,2449358
322,1961304,4452964,2456952
323,1922120,4544249,2482033
324,1953672,4520191,2461643
325,1942363,4416279,2474435
326,1968202,4390564,2457714
327,1950300,4358082,2429727
328,1977780,4382987,2476259
329,1928303,4443640,2458061
330,1951583,4386017,2452935
331,1981351,4537541,2449330
332,1904289,4431984,2429769
333,1966881,4364393,2452869
334,1934150,4522033,2493101
335,1942545,4471621,2500841
336,2147086,4373601,2443190
337,1917529,4367047,2440851
338,1945693,4390728,2445293
339,1950298,4426068,2428446
340,1885313,4517258,2454438
341,1933615,4406978,2447200
342,1946131,4387565,2456372
343,1980296,4424050,2665588
344,2153545,4433599,2477135
345,1924603,4379551,2573791
346,1943614,4541177,2460137
347,1931672,4421080,2433599
348,1956190,4532358,2391071
349,1900894,4372945,2481667
350,1975980,4396691,2490730
351,1965793,4540455,2410986
352,1921225,4385974,2438425
353,1920838,4361081,2475487
354,1974528,4388078,2430232
355,1931630,4427268,2434812
356,1938942,4390725,2432012
357,1964263,4424331,2408027
358,1946278,4380761,2453207
359,1973285,4450633,2441513
360,2153097,4511018,2499052
361,1972328,4417733,2641634
362,2600860,4611820,2432015
363,1932211,4416413,2557870
364,1900930,4345821,2496829
365,1912874,4391159,2508002
366,1984265,4467055,2465395
367,1951183,4447982,2477412
368,1924007,4602510,2445302
369,1908116,4444923,2567676
370,1965785,4427845,2445584
371,1972524,4490517,2443447
372,1931056,4370015,2559158
373,2783473,4609017,2571856
374,2006779,4514865,2524280
375,1969014,4407352,2518854
376,1941674,4484779,2451195
377,1974794,4399484,2437597
378,1962170,4416022,2473300
379,1941911,4430029,2557670
380,1954066,4551054,2522744
381,1988556,4403353,2554891
382,2015737,4486165,2535452
383,1980541,4531589,2516645
384,1935439,4413008,2469218
385,2105639,4413229,2436551
386,1964834,4330589,2459112
387,1943935,4403378,2516101
388,1936043,4399534,2452240
389,1934910,4421179,2434540
390,1937626,4386923,2499232
391,1951976,4364109,2454990
392,1940153,4352159,2503092
393,1991421,4489140,2480878
394,1991551,4714998,2681792
395,2453990,4468128,2529070
396,1970176,4562034,2484702
397,1946360,4458750,2497035
398,1955688,4481949,2508718
399,1997800,4449081,2523479
400,1966747,4429549,2495979
401,1930091,4560507,2531519
402,1917138,4357255,2443347
403,2008004,4909957,2497156
404,1955705,4460275,2474094
405,2093632,4561378,2469460
406,1941566,4430032,2491798
407,1938763,4437000,2443913
408,1951044,4518163,2433748
409,1927622,4445979,2416320
410,1925892,4381848,2483459
411,1915280,4375723,2537964
412,2006983,4479844,2445616
413,1975626,4496486,2588303
414,1977871,4429982,2539803
415,1944093,4528700,2563629
416,1950082,4514803,2450320
417,1968695,4597575,2433192
418,1928779,4464692,2466194
419,1955823,4737100,2542337
420,1962066,4418978,2488381
421,2192567,4678787,2503577
422,1943347,4437621,2459954
423,1977171,4563051,2497163
424,1966754,4346753,2504999
425,1976835,4599990,2456721
426,1943136,4536777,2473933
427,1923385,4588745,2518439
428,1912473,4536697,2487200
429,1949764,4376074,2517609
430,2036014,4442834,2476124
431,1891915,4356440,2676745
432,2142042,4432834,2452413
433,1971640,4760871,2473149
434,2000338,4411134,2494234
435,1985860,4782683,2451842
436,1936234,4402211,2450931
437,1993700,4419267,2430850
438,1912820,4373765,2486143
439,1946422,4385018,2428768
440,1976424,4437566,2486977
441,1937436,4395417,2501733
442,2009927,4721078,2420768
443,1923931,4573614,2473627
444,2007987,4583733,2443264
445,2004291,4420383,2439938
446,1909802,4339998,2403777
447,1938442,4409886,2675914
448,1998856,4408622,2436424
449,2002872,4455863,2639091
450,1937247,4432026,2515858
451,1936974,4828983,2734599
452,1952340,4342945,2458563
453,1967468,4574397,2455033
454,1961659,4403757,2515656
455,2047929,4390620,2491748
456,1923354,4408754,2645779
457,2002971,4360716,2433281
