Iteration,UserSide1_ns,BankSide_ns,UserSide2_ns
288,565765,60246,429429
289,565601,58543,427185
290,567052,57094,434726
291,572118,58617,427116
292,698757,61076,425120
293,736894,59380,438215
294,572226,67372,434428
295,569772,57362,413727
296,572555,58751,426880
297,578892,59329,428676
298,580343,59533,431607
299,578048,57460,429488
300,571708,58429,434330
301,582775,65451,421295
302,565281,60955,425177
303,568890,60687,421726
304,563982,60207,419280
305,639231,62995,521550
306,736929,60078,520917
307,592508,58657,425780
308,574286,58248,443531
309,579481,57183,448759
310,581910,57717,440077
311,594960,63352,423760
312,578789,60994,443363
313,581141,60464,434840
314,576064,58703,423074
315,580433,58031,433898
316,642774,63017,439826
317,572194,58840,437907
318,612230,60503,445662
319,576510,66175,584747
320,925031,161022,535987
321,573086,56824,424532
322,567971,61765,427622
323,558960,59229,420178
324,562659,58647,435550
325,577561,58612,421932
326,573131,57973,429727
327,743972,67274,444561
328,584247,59054,456639
329,593427,59852,476873
330,707184,94675,455898
331,573403,60057,421508
332,664172,66569,637457
333,828481,60481,427950
334,559841,57296,441441
335,591971,58785,432067
336,583336,58562,437381
337,588737,57816,426707
338,570687,56405,421179
339,555867,57298,424399
340,568022,58146,425185
341,572950,58166,448105
342,577664,59615,430515
343,572229,58653,426852
344,638859,63340,570887
345,681262,110681,504074
346,743388,63092,522124
347,679548,135213,549205
348,591043,58777,447236
349,590977,58986,434697
350,576472,60096,443416
351,583300,60395,426253
352,591726,57747,447098
353,591091,59285,455833
354,578574,57210,427637
355,574085,58803,425561
356,578253,59647,434337
357,587137,65451,435848
358,573132,58407,437913
359,595854,62202,433110
360,577897,59212,437771
361,572140,59301,430240
362,723213,65736,479326
363,569961,59508,429054
364,585722,57667,430461
365,565624,57867,443461
366,592862,57585,430432
367,581613,58875,419061
368,558256,59887,426178
369,603951,62612,424284
370,566596,56543,430573
371,582181,61044,438112
372,577637,59054,423192
373,556599,61071,428776
374,570806,58344,425162
375,582506,59554,418808
376,549387,57261,417082
377,582917,61013,440021
378,589562,58635,438795
379,562279,57358,426884
380,562388,57055,429269
381,589804,91855,425383
382,576700,57600,425528
383,569997,66778,432354
384,575153,56026,430442
385,581868,64216,432401
386,584103,61770,424319
387,574692,58162,431379
388,559418,57228,433212
389,566126,57988,435908
390,566155,64298,453179
391,580723,57660,427067
392,580469,59286,430538
393,571225,57504,429914
394,563392,57249,416968
395,567257,59712,433679
396,590553,58665,424726
397,569330,58965,423287
398,564225,59308,434228
399,575744,58947,423983
400,647758,62259,440270
401,587411,58101,428686
402,585230,58380,427630
403,565577,56831,430051
404,580357,59951,425782
405,573469,65091,442225
406,587971,60651,423355
407,580863,58228,427179
408,563689,56578,429552
409,575389,57072,431820
410,573301,62204,419805
411,567286,58288,418209
412,562415,68223,421424
413,573409,60095,427101
414,561354,59263,418047
415,583516,61006,436931
416,580985,60183,437656
417,580783,58098,419824
418,568218,57080,440506
419,614535,59191,452218
420,599623,61007,437174
421,588496,58490,535212
422,657138,66352,552491
423,647148,58022,426548
424,585897,64243,433203
425,573488,57159,432025
426,596812,58711,437798
427,577904,58356,473167
428,601159,110913,449332
429,605013,59549,426978
430,576917,57896,445046
431,582711,57819,421786
432,586307,57547,447453
433,608271,57460,441932
434,564923,56969,436983
435,603363,60300,436798
436,715427,61873,534459
437,612799,59744,440610
438,581173,58731,440862
439,575507,58798,431380
440,575605,57559,444164
441,571304,61057,433089
442,592966,60279,425390
443,568913,57763,424838
444,584283,57745,421825
445,565438,57402,447873
446,600145,57644,426024
447,589683,68725,431526
448,572882,59116,439345
449,620982,63476,451097
450,580624,59349,472826
451,616576,57873,432740
452,581041,69273,430510
453,576996,60509,424809
454,577101,58931,429516
455,577388,58585,429529
456,583830,57586,441664
457,588819,59388,419752
458,566645,57579,419339
459,580819,58315,427708
460,569756,57372,439408
461,584658,57970,441719
462,584533,58875,424646
463,561288,59558,416584
464,573170,58774,424740
465,558864,57642,453562
466,609719,58842,460499
467,580167,59013,432596
468,582166,57907,429667
469,573315,56829,427888
470,577916,62131,434766
471,580767,58092,433046
472,570027,63378,430038
473,567128,65597,425480
474,586996,57589,423397
475,570467,56390,416125
476,594026,59479,439882
477,579390,58915,423978
478,575811,59821,428748
479,577293,58537,430971
480,584272,59177,420552
481,565793,58689,414969
482,565060,58146,429344
483,578607,58914,444443
484,568552,58852,426778
485,575731,58126,418401
486,553425,59228,417308
487,569352,56645,418500
488,554685,58143,430764
489,562265,59353,422968
490,586472,63548,422961
491,558936,57726,422724
492,565751,62787,432357
