Iteration,Payee_ns,Bank_ns
318,2525792,9342061
319,2433519,9202522
320,2439752,9141107
321,2491201,9457449
322,2551042,9396235
323,2517197,13948948
324,2455170,9351074
325,2472910,9309243
326,2500506,9162135
327,2456788,9240251
328,2475056,9525855
329,2481014,9248084
330,2449450,9181746
331,2507788,9334411
332,2508736,9231537
333,2505735,9380987
334,2469911,9484191
335,2499385,9294870
336,2520300,9415316
337,2509925,9322906
338,2499334,9366876
339,2588707,9349865
340,2498848,9088163
341,2516240,9454193
342,2488554,9353440
343,2480224,9321290
344,2450175,9550297
345,2773415,9472822
346,2450616,9283031
347,2480224,9398050
348,2527426,9383429
349,2477726,9416955
350,2710893,9294666
351,2556375,9302123
352,2478004,9316664
353,2467171,9346600
354,2517015,9134841
355,2464303,9375940
356,2463253,9251955
357,2569596,9244297
358,2510509,9458389
359,2481065,9274990
360,2564153,9574468
361,2469013,9339444
362,2470678,9226997
363,2555525,9637388
364,2435155,10162703
365,2630996,9274340
366,2446667,9547360
367,2483526,9279492
368,2473087,9394819
369,2442175,9174431
370,2483574,10330876
371,2481605,9309243
372,2464448,9555601
373,2474425,9566940
374,2440295,9349714
375,2470520,9395558
376,2483277,9407012
377,2483511,9396718
378,2521323,9602812
379,2474751,9125364
380,2516036,9271823
381,2466492,9294136
382,2477347,9427196
383,2476389,9283339
384,2531539,9265450
385,2503245,9360649
386,2488221,9465786
387,2523404,9434885
388,2452578,9358524
389,3377048,9292501
390,2559431,9282754
391,2457849,9415314
392,2471757,9473854
393,2513107,9521927
394,2834077,9454206
395,2490227,9235095
396,2535056,9627537
397,2466627,9321591
398,2532110,9285966
399,2459027,9273032
400,2469362,9252811
401,2481547,9167246
402,2513594,9338172
403,2469869,9296849
404,2497012,9184960
405,2511910,9556236
406,2480193,9566858
407,2442105,9639945
408,2495870,9675382
409,2657647,10526372
410,2556913,9550289
411,2463302,9560682
412,2486322,9458597
413,2430682,9572772
414,2470440,9530441
415,2455090,9423563
416,2532281,9701762
417,2599856,9590443
418,2532325,9368913
419,2557989,9642301
420,2519470,9707419
421,2474576,9545105
422,2529140,9516877
423,2482977,9569527
424,2537445,9446948
425,2561293,9380070
426,2479403,9607294
427,2487001,9315385
428,2553883,9450377
429,2500650,9657695
430,2481557,9752999
431,2477436,9379793
432,2442694,9331093
433,2534711,9172531
434,2475887,9169992
435,2449880,9173650
436,2453081,9457954
437,2476710,9332969
438,2481994,9361578
439,2519124,9479954
440,2457012,9432829
441,2436865,9435473
442,2513399,9338945
443,2487400,9309117
444,2474078,9312202
445,2526920,9493969
446,2482955,10487144
447,2487927,9403128
448,2495969,9384285
449,2499883,9417615
450,2447654,10691312
451,2475751,9588019
452,2481343,9449168
453,2496690,10474348
454,2453065,9325309
455,2467785,10132871
456,2477730,9199633
457,2537301,9476720
458,2448973,9250976
459,2448638,9416268
460,2505953,9403074
461,2464622,9374819
462,2443987,9160697
463,2478191,9210285
464,2487709,9412441
465,2478346,9402554
466,2472906,9310878
467,2489683,9427330
468,2518475,9347947
469,2501643,9297602
470,2446544,9324215
471,2487609,9279909
472,2481079,9219122
473,2509138,9256477
474,2512989,9196727
475,2659046,9306277
476,2429525,17094682
477,2488864,9352274
478,2455328,9409267
479,2450745,9394198
480,2476419,9630576
481,2692540,10160191
482,2633765,10307461
483,2642292,10123855
484,2667647,9952424
485,2680259,9867843
486,2673061,9885878
487,2635528,9838459
488,2641454,11957723
489,2712241,11036175
490,2647144,9946051
491,2695229,9961009
492,2677762,9897085
493,2651358,9882965
494,2661503,9920271
495,2714661,10332525
496,2711580,9963695
497,2627228,10295112
498,2701724,10274386
499,2669315,10016723
500,2661741,10133374
501,2711100,10013933
502,2709685,9847251
503,2629363,14633554
504,2721502,10003825
505,2629076,9849141
506,2815417,10027594
507,2671120,10127044
508,2697843,9997901
509,2711419,10427498
510,2641975,10171136
511,2680368,10122065
512,2629708,9960693
513,2635836,10197272
514,2637643,10085101
515,2739422,10424173
516,2629533,10301251
517,2633547,10088895
518,2747814,10095048
519,2634368,10082534
520,2648462,10063531
521,2623062,10007340
522,2743328,10128602
523,2646878,11317763
524,2659221,10054946
525,2760374,10079936
526,2661690,10154225
527,2638765,10012138
528,2675353,10074708
529,2632262,10362458
530,2635445,10230857
531,2660300,10148172
532,2805490,10004223
533,2634573,10167652
534,2639959,10108583
535,2681224,10115071
536,2751272,10357575
537,2630534,10219572
538,2640636,9974514
539,2773819,10191365
540,2658680,10335646
541,2666019,9990587
542,2669873,10247979
543,2685210,10167037
544,2639789,10098129
545,3836089,10723262
546,2665817,10129086
547,2656623,10159528
548,2677718,10173280
549,2730830,10186447
550,2654255,10136102
551,2746980,10017442
552,2632003,10152909
553,2744046,10253096
554,2676751,9956164
555,2656814,10119200
556,2736858,10399957
557,2676089,10280001
558,2746214,10100833
559,2704244,9974515
560,2709442,10165056
561,2650745,10398104
562,2670983,10203781
563,2694535,10136804
564,2628578,9926039
565,2680172,9817844
566,2674110,10917891
567,2706329,10111891
568,2639480,9867943
569,2645765,10065868
570,2656299,9905624
571,2829485,10041622
572,2687606,10083744
573,2623688,9984259
574,2682347,9931519
575,2673576,9962980
576,2718691,10367640
577,2664986,10129841
578,2736504,10250530
579,2724486,10109541
580,2664371,9957586
581,2710326,9926297
582,2632670,10165913
583,2694561,9831161
584,2961084,10150287
