Iteration,Payee1_ns,Payer_ns,Payee2_ns
226,2126907,5583498,3412389
227,2114892,5569310,3406916
228,2106225,5723056,3514213
229,2173561,5661610,3739292
230,2117041,5590448,3498838
231,2249558,5592947,3514652
232,2103047,5608487,3510862
233,2110344,5633148,3451489
234,2162592,5672131,3459368
235,2173298,5645034,3487091
236,2131117,5564943,3562953
237,2118309,5605319,3704968
238,2139169,5817294,3461272
239,2128726,5596314,3451384
240,2094910,5586610,3509357
241,2108608,5735120,3460113
242,2126873,5599795,3680277
243,2231088,5695004,3496798
244,2147358,5925686,3513881
245,2119479,5992678,3443944
246,2151367,5573840,3454008
247,2114630,5573488,3458435
248,2100024,5621178,3443313
249,2084826,5807741,3462995
250,2136469,5624862,3496538
251,2145455,5575417,3438429
252,2121488,5619509,3478465
253,2087459,5611585,3515615
254,2097528,5559593,3449789
255,2100508,5528534,3443642
256,2176916,5664480,3470476
257,2122113,5614291,3486793
258,2135041,5597937,3554070
259,2135345,5538355,3414923
260,2153443,5573088,3515395
261,2239267,5915664,3712186
262,2170628,5673521,3593955
263,2136675,5795647,3509215
264,2109269,5610214,3459948
265,2118704,5781177,3501242
266,2177455,5797642,3539926
267,2185422,5681623,3584435
268,2137873,5794169,3598741
269,2183689,5819796,3528167
270,2156958,5810139,3505767
271,2103437,5670789,3595904
272,2137764,5678291,3527560
273,2161867,5765026,3439945
274,2143656,5765638,3570265
275,2137636,5694973,3688203
276,2111691,5644857,3455680
277,2287482,5710595,3545959
278,2114442,5687483,3561338
279,2116354,5648460,3510028
280,2161357,5707554,3683135
281,2152985,5720218,3592735
282,2135919,5570541,3463550
283,2128916,5709544,3563348
284,2180041,5663165,3700547
285,2119021,5648716,3428540
286,2138137,5694629,3474871
287,2087020,5947955,3664159
288,2161790,5678830,3501895
289,2174238,5671069,3517415
290,2141845,5624773,3635133
291,2195353,6885347,3599754
292,2149052,6117247,3436376
293,2160497,5591524,3510155
294,2168611,5653841,3536635
295,2152365,5706877,3591352
296,2140731,5605697,3501636
297,2078233,5739565,3630250
298,2130759,5631683,3445570
299,2136764,5696370,3453339
300,2133248,5607177,3476683
301,2129655,5588326,3577952
302,2148904,5691166,3520177
303,2122878,6767915,3462479
304,2153572,5598569,3419807
305,2132112,5580135,3459940
306,2092656,5620414,3461581
307,2114644,5582172,3406887
308,2126849,5664195,3461494
309,2117996,5589382,3427844
310,2114544,5574225,3416584
311,2134008,5643798,3459079
312,2118188,5608806,3447749
313,2119340,5595741,3454071
314,2119717,5628612,3449662
315,2176030,5691300,3506505
316,2162989,5679899,3446432
317,2131178,5553531,3541191
318,2171848,5731067,3563728
319,2204969,5722616,3542895
320,2173737,5733253,3445047
321,2128202,5742950,3588250
322,2113776,5626538,3471542
323,2263021,5620800,3476172
324,2111743,5710782,3453328
325,2140752,5566349,3586136
326,2088314,5632996,3516209
327,2138750,5656193,3610778
328,2114301,5701011,3498123
329,2090777,5586726,3812835
330,2118091,5608902,3441943
331,2221309,5924870,3515776
332,2175273,5621927,3477028
333,2101319,5556092,3494939
334,2115745,5654053,3511776
335,2139250,5677052,3553664
336,2109946,5857934,3494394
337,2114649,5818273,3486779
338,2119999,5626357,3440527
339,2136938,5619054,3488932
340,2133070,5619256,3474548
341,2125402,5614708,3479626
342,2128040,5666666,3481528
343,2087753,5609724,3493916
344,2110356,5668400,3495423
345,2119215,5972447,3492064
346,2117837,5590410,3626621
347,2240010,5582686,3505287
348,2129009,5655530,3448314
349,2128490,5622509,3489847
350,2120097,5582601,3590066
351,2125502,5594096,3451688
352,2086189,5715932,3489728
353,2085518,5778049,3466931
354,2121131,5577407,3515915
355,2165445,5791603,3487744
356,2222440,5594763,3536498
357,2155522,5835809,3534014
358,2114657,5671558,3497307
359,2098048,5639465,3494290
360,2122125,5639907,3476541
361,2112008,5571704,3440832
362,2099657,5750539,3514089
363,2181083,5716972,3489511
364,2190390,5744756,3614124
365,2187281,5888836,3481944
