Iteration,Payee1_ns,Bank1_ns
353,563557,3442147
354,620190,3135744
355,560876,3080321
356,530184,3060502
357,526227,3275899
358,562935,3122193
359,549692,3073787
360,541885,3049524
361,541589,3100223
362,550609,3097120
363,566422,3025974
364,548662,3256587
365,564465,3106359
366,559973,3094043
367,557279,3117719
368,547377,3121622
369,570682,3083201
370,551193,3111279
371,555590,3104616
372,554998,3141566
373,528186,3086784
374,542000,3068198
375,538778,3326056
376,566172,3110620
377,538292,3057594
378,538701,3050325
379,560110,3355108
380,565646,3148206
381,551143,3086235
382,554450,3140877
383,550409,3175851
384,559921,3320547
385,552579,3040319
386,534597,3033331
387,542101,3041128
388,549577,3403499
389,538508,3072771
390,553142,3037054
391,553504,3041527
392,543427,3340079
393,620738,3077575
394,538216,3053865
395,538536,3092030
396,552573,3157649
397,540546,3319384
398,538970,3033186
399,559351,3096684
400,531129,3091263
401,636296,3349278
402,584156,3161152
403,585936,3122490
404,556826,3098151
405,593466,3417346
406,587998,3152090
407,585710,3139098
408,540968,3120632
409,547710,3271883
410,593766,3178602
411,563970,3115166
412,570525,3164291
413,572482,3104810
414,544316,3110717
415,558774,3057633
416,539666,3132433
417,542981,3079449
418,550455,3047456
419,539273,3074803
420,529289,3048745
421,532889,3063558
422,541257,3076273
423,543162,3102632
424,551547,3126095
425,561891,3098928
426,548976,3221162
427,614925,3381815
428,553360,3091753
429,522275,3018661
430,557861,3045417
431,546964,3355352
432,526788,3048353
433,570370,3021726
434,538605,2998591
435,529427,3239581
436,571101,3148051
437,594919,3123941
438,546276,3100871
439,533196,3072994
440,549543,3189490
441,549757,3121452
442,538726,3060216
443,570691,3081364
444,543209,3062194
445,547977,3083136
446,548345,3107646
447,543874,3026282
448,548105,3079471
449,560599,3085105
450,542815,3048383
451,542480,3067146
452,548027,3077840
453,552477,3117140
454,546333,3029784
455,547459,3071663
456,537729,3035974
457,548384,3095175
458,561619,3179257
459,566443,3105595
460,541789,3079102
461,527643,3130507
462,553998,3136459
463,536175,3088266
464,540486,3029837
465,553494,3104468
466,548135,3085823
467,545797,3056811
468,564110,3054096
469,537011,3080688
470,548916,3092227
471,539305,3031577
472,541567,3012090
473,540955,3195036
474,566133,3062918
475,546441,3046213
476,564554,3068671
477,552090,3089935
478,568291,3099266
479,554940,3070249
480,543684,3037452
481,529841,3056263
482,547061,3069294
483,544657,3087116
484,550918,3080539
485,549604,3057330
486,527213,3081653
487,540793,3028086
488,530115,3049562
489,573861,3069135
490,531490,3073695
491,543198,3097981
492,544063,3069074
493,535748,3075736
494,529211,3145269
495,558548,3097753
496,553002,3073558
497,535406,3106860
498,540817,3096867
499,535092,3076448
500,551023,3095446
501,543888,3083282
502,557160,3038461
503,553410,3095703
504,536253,3105578
505,533010,3040744
506,547199,3161731
507,541082,3123156
508,562193,3074620
509,555218,3045647
510,536293,3286159
511,550120,3066301
512,538764,3061319
513,536190,3027848
514,537038,3227520
515,555160,3165108
516,540717,3059788
517,543245,3087575
518,538583,3091458
519,546624,3090293
520,541414,3083208
521,548538,3065381
522,557457,3071128
523,546043,3102578
524,550109,3073814
525,539664,3082529
526,555219,3029583
527,545883,3037959
528,529539,3025017
529,539718,3085027
530,535856,3041928
531,541693,3100228
532,534287,3084015
533,547986,3030245
534,524607,3044545
535,537740,2999900
536,541352,3033747
537,538635,3039338
538,546920,3045852
539,536910,3074692
540,527700,3049543
541,522040,3114186
542,544786,3055475
543,614831,3360884
544,568153,3103727
545,549994,3279133
546,564444,3128428
547,593505,3055131
548,543437,3132329
549,542372,3055248
550,533691,3053571
551,549764,3074920
552,544972,3025531
553,541063,3127569
554,564580,3091082
555,550269,3091667
556,558567,3164634
557,554439,3088304
558,549227,3040150
